Wall time,Step,Value
1645558269.171025,4,-126.04595184326172
1645558269.2893097,5,-109.71910095214844
1645558269.9712234,11,-32.35873031616211
1645558270.959687,15,-124.96873474121094
1645558271.1167903,16,-250.02188110351562
1645558271.5330007,19,-78.43368530273438
1645558271.6984835,20,-119.11612701416016
1645558271.8524294,21,-287.0111083984375
1645558272.109868,23,16.212722778320312
1645558272.2002985,24,-126.64276123046875
1645558272.5783844,27,-316.9542541503906
1645558272.6975822,28,-165.03419494628906
1645558273.9613187,39,-357.0541687011719
1645558274.198493,41,-221.36448669433594
1645558275.075133,48,-147.88026428222656
1645558275.1974342,49,-193.10997009277344
1645558275.3445916,50,-242.33290100097656
1645558275.662137,52,-86.31761169433594
1645558276.0310183,55,-187.62767028808594
1645558276.4549103,58,-427.52471923828125
1645558276.920225,61,-167.377197265625
1645558277.0557163,62,-233.41485595703125
1645558277.1628413,63,-183.3892822265625
1645558277.3341775,64,-216.32498168945312
1645558277.6708648,66,-451.7401428222656
1645558277.7779505,67,-104.18682861328125
1645558277.939283,68,-34.135196685791016
1645558278.2011514,69,-232.84095764160156
1645558278.5498772,71,-256.72442626953125
1645558278.686236,72,-481.9768371582031
1645558279.5079355,78,-203.55650329589844
1645558279.8823097,80,-118.30745697021484
1645558280.2984571,83,-68.28302001953125
1645558280.9021947,86,-222.26112365722656
1645558281.4880621,90,-183.73419189453125
1645558282.956041,100,-131.91722106933594
1645558283.7141204,104,-144.62974548339844
1645558284.4941096,107,-120.61064147949219
1645558284.6869342,108,-250.816162109375
1645558285.0983639,110,-199.29925537109375
1645558286.9728556,117,-72.59429168701172
1645558287.8689482,122,-329.2729797363281
1645558288.8283677,126,-100.2397689819336
1645558289.0016713,127,-82.06355285644531
1645558289.3351178,129,-110.58438873291016
1645558290.193755,131,-130.37159729003906
1645558291.7278364,137,-38.92329406738281
1645558291.9478002,138,-124.39643096923828
1645558293.8421123,145,-132.11328125
1645558294.4836771,147,-87.90513610839844
1645558294.6219206,148,-144.18980407714844
1645558295.68205,151,-153.14064025878906
1645558297.7879992,158,-145.5062255859375
1645558299.1353068,161,-135.2139434814453
1645558299.740419,163,-76.43585205078125
1645558300.3195748,165,-234.45201110839844
1645558301.7028394,171,-124.21080780029297
1645558301.8501878,172,-102.21417236328125
1645558302.0611377,173,-107.51347351074219
1645558303.4708514,178,-211.8115692138672
1645558304.684817,182,-158.6859130859375
1645558306.1519063,185,-103.49604034423828
1645558306.4341972,186,-413.1197814941406
1645558306.5752165,187,-19.831239700317383
1645558307.4106328,191,-53.362762451171875
1645558307.7102766,192,-51.14736557006836
1645558308.0102582,193,-120.98983764648438
1645558315.264808,200,-55.073951721191406
1645558316.3080192,203,-39.324798583984375
1645558316.7646236,204,-118.67738342285156
1645558317.0653396,205,-40.38365936279297
1645558317.41681,206,-12.473315238952637
1645558318.0279517,208,-116.5916748046875
1645558321.4752953,212,-57.0650749206543
1645558322.956652,214,-206.582763671875
1645558324.1523044,216,-287.412353515625
1645558328.80894,220,-199.13531494140625
1645558329.110385,221,20.047426223754883
1645558330.5423207,222,-93.46984100341797
1645558331.6436028,225,-98.89469146728516
1645558333.269499,230,28.27733039855957
1645558342.9636743,240,-71.4185562133789
1645558345.7194595,242,-22.00154685974121
1645558346.7662568,245,-34.99171829223633
1645558347.4287612,246,-245.0723419189453
1645558349.429396,247,-7.63857889175415
1645558359.2370937,255,-28.7327938079834
1645558363.5032742,259,-75.18502807617188
1645558363.813961,260,-166.6654815673828
1645558366.3872912,261,-159.5770263671875
1645558378.0211048,272,-374.98089599609375
1645558381.580828,275,-203.1458740234375
1645558384.7975545,277,-36.283897399902344
1645558389.2322907,279,-41.802120208740234
1645558392.6867175,281,5.7491230964660645
1645558397.447465,283,-103.108154296875
1645558404.5804935,286,-14.690958023071289
1645558406.470008,289,-153.34487915039062
1645558409.0745292,291,-49.987762451171875
1645558419.96235,296,-19.553070068359375
1645558424.6474702,298,-74.12203216552734
1645558426.755079,299,-83.06224060058594
1645558445.9484787,307,-22.075040817260742
1645558451.1778083,309,-70.0965576171875
1645558461.19441,313,-8.162887573242188
1645558470.425317,317,-63.84357833862305
1645558475.0132506,319,-4.171520709991455
1645558477.7974906,320,-73.04522705078125
1645558489.601873,323,-72.68907165527344
1645558545.3842099,338,-110.06932067871094
1645558547.5569727,339,-133.99850463867188
1645558560.624686,344,-48.05747985839844
1645558567.3442826,346,-75.48815155029297
1645558570.4906275,347,-122.43726348876953
1645558591.0627584,353,-10.297951698303223
1645558596.8521101,355,-95.89608001708984
1645558609.6341336,359,-54.213653564453125
1645558623.072416,363,-68.51598358154297
1645558625.586765,364,-55.89643096923828
1645558627.5292275,365,-190.88156127929688
1645558630.2038927,366,-37.30995178222656
1645558632.1073456,367,-24.781837463378906
1645558634.5608037,368,-3.499157428741455
1645558665.3174715,379,-29.241708755493164
1645558700.3051848,387,-75.06414031982422
1645558718.46827,391,141.0430145263672
1645558725.3099942,393,4.525648593902588
1645558732.6317968,395,-49.510982513427734
1645558747.8364937,398,-11.303738594055176
1645558770.1034133,403,-22.76390266418457
1645558777.3011572,405,28.601848602294922
1645558794.3501701,410,16.028146743774414
1645558805.0159385,414,34.21059036254883
1645558808.330476,415,-8.502625465393066
1645558810.96129,416,-30.44750213623047
1645558825.359922,422,11.635512351989746
1645558828.2851627,423,8.860814094543457
1645558836.9959784,426,-46.60688018798828
1645558840.1121728,427,14.729973793029785
1645558848.376498,431,167.4086456298828
1645558860.7403474,436,30.992971420288086
1645558862.803901,437,-0.1771748960018158
1645558865.4180455,438,27.108890533447266
1645558869.7734761,440,20.094694137573242
1645558875.1793067,442,17.55173683166504
1645558880.8460574,444,-35.22612762451172
1645558884.453303,445,-30.59914207458496
1645558889.106591,447,-24.701860427856445
1645558899.5901551,451,12.103591918945312
1645558904.489389,453,16.468063354492188
1645558915.0304615,457,-2.8734819889068604
1645558922.7769628,461,24.90452003479004
1645558925.3568623,462,-9.791093826293945
1645558935.4702506,466,7.060554504394531
1645558937.3589435,467,124.53781127929688
1645558941.7965517,469,-22.497634887695312
1645558947.791222,471,-20.948030471801758
1645558960.3754127,475,-13.25623893737793
1645558962.8088527,476,-21.537559509277344
1645558976.882088,481,-11.530815124511719
1645558978.9973803,482,-23.970836639404297
1645558987.8416498,485,-8.699592590332031
1645558995.2248216,488,-29.654829025268555
1645558997.5012136,489,-27.47868537902832
1645558999.9092739,490,2.684201240539551
1645559005.4358685,492,-36.84257125854492
1645559011.7453773,495,-19.077878952026367
1645559022.2843726,499,-9.99576473236084
1645559032.807709,503,-41.93359375
1645559035.926123,504,-20.692941665649414
1645559050.5059686,510,31.080421447753906
1645559053.040439,511,13.333406448364258
1645559056.8782659,512,-13.546140670776367
1645559059.2354348,513,-29.903324127197266
1645559062.5974474,514,-22.679773330688477
1645559062.9656258,515,-97.91600799560547
1645559072.448122,518,1.2107715606689453
1645559074.7448866,519,-56.80745315551758
1645559076.7738905,520,3.575237274169922
1645559090.193641,534,20.096044540405273
1645559090.3950763,535,-103.3868408203125
1645559095.881848,537,34.71209716796875
1645559096.9235187,538,245.09242248535156
1645559099.62814,539,-33.59062957763672
1645559103.2370636,541,67.64324188232422
1645559107.8232408,543,-4.738670825958252
1645559113.1885502,545,-48.27914047241211
1645559117.3844392,547,11.433314323425293
1645559119.4974003,548,-12.51161003112793
1645559128.7605815,551,17.318618774414062
1645559133.2929451,553,153.8084259033203
1645559138.2094386,556,-3.7970104217529297
1645559141.2006063,557,166.4829559326172
1645559159.2413769,563,10.982351303100586
1645559161.7322192,564,98.8685531616211
1645559162.5981138,565,-53.09263229370117
1645559173.8624597,569,49.32798767089844
1645559180.2511487,572,35.19007873535156
1645559185.9954243,574,108.18021392822266
1645559191.736481,577,218.62135314941406
1645559198.7620296,581,-34.3353385925293
1645559204.7950842,585,186.11729431152344
1645559205.615902,586,202.32147216796875
1645559208.1599932,589,163.5186767578125
1645559210.8794615,591,199.78070068359375
1645559211.5343473,592,250.25132751464844
1645559216.4397125,595,144.7548370361328
1645559219.9403834,597,225.12069702148438
1645559222.4565556,599,184.87149047851562
1645559224.4703708,600,-2.1159274578094482
1645559227.6671274,603,175.65428161621094
1645559228.5112622,604,291.512939453125
1645559233.7048807,609,263.82012939453125
1645559239.6107895,614,192.46812438964844
1645559240.9634485,615,176.6179656982422
1645559242.3851705,617,226.86146545410156
1645559248.1787117,621,-63.90644454956055
1645559249.9258096,623,241.81736755371094
1645559251.4678671,624,195.48959350585938
1645559255.7696714,627,162.51983642578125
1645559257.54606,629,184.95310974121094
1645559259.8514442,630,175.40383911132812
1645559264.018741,634,178.72743225097656
1645559268.1174154,638,209.65771484375
1645559270.0703816,641,213.10073852539062
1645559271.0948021,642,196.96536254882812
1645559271.585719,643,-11.020687103271484
1645559272.731203,644,183.8916473388672
1645559273.5829601,645,207.27175903320312
1645559277.6434736,650,198.1052703857422
1645559279.3139327,652,243.06399536132812
1645559280.453234,653,206.09457397460938
1645559282.0471504,655,213.14254760742188
1645559283.434711,656,161.3022918701172
1645559285.401315,659,-25.396522521972656
1645559287.242522,661,213.7710723876953
1645559293.4607954,668,178.25611877441406
1645559295.3513544,671,236.26792907714844
1645559301.4456224,676,116.09896087646484
1645559302.4001122,677,228.7213134765625
1645559305.3468115,681,231.1884765625
1645559309.8096745,685,264.4527282714844
1645559312.264983,688,241.85943603515625
