Wall time,Step,Value
1645532908.4813714,4,-12.816176414489746
1645532908.6161563,5,-274.9233093261719
1645532909.3592396,11,-137.80459594726562
1645532909.7762845,15,-280.5401306152344
1645532909.8951008,16,-233.51954650878906
1645532910.1736615,19,-348.3154602050781
1645532910.2585924,20,-432.26226806640625
1645532910.350425,21,-398.395751953125
1645532910.4989874,23,-53.64493179321289
1645532910.5793083,24,-173.92198181152344
1645532910.9020133,27,-148.30650329589844
1645532911.1481762,28,-217.95272827148438
1645532912.791996,39,-88.65887451171875
1645532912.9709723,41,-291.8656311035156
1645532913.582582,48,-65.60316467285156
1645532913.6690447,49,-35.84416198730469
1645532913.8106754,50,-66.8485107421875
1645532913.9483786,52,-100.73108673095703
1645532914.3257837,55,-314.1084899902344
1645532914.8868968,58,-431.7401123046875
1645532915.1501565,61,-232.90225219726562
1645532915.2176204,62,-93.11730194091797
1645532915.3263144,63,-269.2472839355469
1645532915.4773502,64,-119.71739196777344
1645532917.8245163,66,-115.83199310302734
1645532917.8885589,67,-115.85055541992188
1645532917.9458258,68,-68.2704086303711
1645532918.008893,69,-75.00211334228516
1645532918.2828152,71,-96.16117095947266
1645532918.3824503,72,-352.3807067871094
1645532919.153119,78,-129.42501831054688
1645532919.359821,80,-150.81463623046875
1645532919.4471962,81,-76.61479949951172
1645532919.6554193,83,-101.44883728027344
1645532919.895726,86,-244.04525756835938
1645532920.221871,90,-61.31238555908203
1645532921.265823,100,-142.06333923339844
1645532921.4298003,101,-209.62850952148438
1645532921.792385,104,-115.49317169189453
1645532923.0473404,107,-103.6202621459961
1645532923.159488,108,-120.53706359863281
1645532923.4324386,110,-152.81607055664062
1645532924.1537156,117,-206.77182006835938
1645532924.6859963,122,-119.71456909179688
1645532925.1801891,126,40.62242889404297
1645532925.2969193,127,-123.15458679199219
1645532925.628327,129,-38.40934753417969
1645532925.8514953,131,-152.76663208007812
1645532925.9275527,132,-25.38821029663086
1645532926.7624683,137,-119.65650939941406
1645532926.972706,138,-282.74334716796875
1645532929.844494,145,-117.1423110961914
1645532930.0030813,147,-97.13198852539062
1645532930.1509783,148,-138.30271911621094
1645532930.7465904,151,-102.56108856201172
1645532931.8142793,158,-163.6278839111328
1645532932.226015,161,-211.4322967529297
1645532932.6333501,163,-124.93994903564453
1645532932.8746312,165,-29.101951599121094
1645532934.7669208,171,-93.49495697021484
1645532934.87812,172,-76.40294647216797
1645532935.0344176,173,-82.70048522949219
1645532935.787609,176,29.407546997070312
1645532935.997656,177,-21.418487548828125
1645532936.6172183,178,-23.987504959106445
1645532937.1956654,182,-42.84973907470703
1645532938.216324,185,-121.4903564453125
1645532938.443116,186,-114.11642456054688
1645532939.117811,187,-87.28968811035156
1645532942.1651282,191,-22.211633682250977
1645532942.961531,192,-111.99323272705078
1645532943.1228018,193,-13.486990928649902
1645532945.8443935,200,-61.769508361816406
1645532946.6296942,203,-89.69022369384766
1645532946.7731848,204,-101.45626068115234
1645532947.0309117,205,-266.6291198730469
1645532947.2209344,206,-96.77452850341797
1645532947.7589743,208,-102.79496765136719
1645532948.2558897,210,-214.8589324951172
1645532948.63485,212,-110.64810180664062
1645532948.9095154,214,-77.60966491699219
1645532949.3818612,216,-38.119022369384766
1645532949.754938,217,-42.414878845214844
1645532953.539005,220,22.42218780517578
1645532953.7075338,221,-40.35378646850586
1645532953.939282,222,-93.3597183227539
1645532954.1677384,223,-180.00521850585938
1645532954.7692606,225,-106.8749008178711
1645532957.5467393,230,-169.62423706054688
1645532963.09733,240,-237.98117065429688
1645532963.6502955,242,33.175201416015625
1645532964.7439327,245,-57.85086441040039
1645532964.9210577,246,-330.714599609375
1645532967.1019874,247,44.79005432128906
1645532971.7682836,255,-163.44483947753906
1645532974.5740843,259,23.08136558532715
1645532977.6315808,260,-13.062649726867676
1645532977.9291584,261,-50.8958625793457
1645532980.9968443,263,-204.1741485595703
1645532985.9290578,271,-19.006610870361328
1645532988.7994013,272,22.27630615234375
1645532992.5696971,275,42.192115783691406
1645532996.2693958,277,-119.74913024902344
1645533001.3398826,279,-83.1538314819336
1645533001.76203,281,-26.668424606323242
1645533003.8443313,283,-126.6707763671875
1645533004.2487266,284,-210.2398223876953
1645533005.8848166,286,182.85679626464844
1645533010.156768,288,26.347110748291016
1645533010.3765342,289,27.912031173706055
1645533012.4076102,291,-21.4399471282959
1645533020.1868281,296,-27.07634735107422
1645533020.4581823,297,-65.89875793457031
1645533022.504785,298,-109.05213165283203
1645533024.6646173,299,-97.53409576416016
1645533039.4132638,307,-93.15497589111328
1645533042.8999853,309,76.73136138916016
1645533044.6094139,310,-45.17814636230469
1645533051.3593087,313,15.778154373168945
1645533058.4647398,317,-10.424859046936035
1645533062.5501661,319,74.5833740234375
1645533064.9516032,320,197.2858123779297
1645533071.3158865,323,-17.06561279296875
1645533076.2388759,325,-58.4211540222168
1645533084.1165845,330,-60.78653335571289
1645533088.4020991,332,67.59882354736328
1645533090.4616401,333,-16.09319305419922
1645533098.6188483,338,-83.35323333740234
1645533100.436728,339,58.71136474609375
1645533104.6552384,341,-100.4107894897461
1645533111.7089856,344,-36.61985778808594
1645533116.7831798,346,-71.62843322753906
1645533119.0856087,347,-56.60999298095703
1645533126.9849203,351,-32.46541213989258
1645533131.6258686,353,7.024787902832031
1645533136.774921,355,-72.43382263183594
1645533144.1803112,359,-41.29851531982422
1645533153.1909268,363,-59.48053741455078
1645533155.2408402,364,8.704916000366211
1645533156.9708884,365,-8.27740478515625
1645533159.3120313,366,-53.342044830322266
1645533162.2235608,367,35.119014739990234
1645533163.828328,368,-34.42125701904297
1645533177.440615,375,-12.743175506591797
1645533184.7165482,378,-59.34510803222656
1645533186.6308858,379,-8.331623077392578
1645533203.1672575,387,-42.98237991333008
1645533213.1470513,391,217.99392700195312
1645533214.9827826,392,0.6252464056015015
1645533217.0982554,393,-19.69558334350586
1645533220.4376595,394,-8.964476585388184
1645533224.0639842,395,-71.76363372802734
1645533231.4037683,398,-53.493804931640625
1645533243.1933327,403,-35.2164306640625
1645533247.6311364,405,-71.8877944946289
1645533255.6865203,409,-52.535518646240234
1645533257.5837111,410,-63.698116302490234
1645533268.6074123,414,-49.70778274536133
1645533270.953307,415,-66.28907012939453
1645533272.829737,416,-7.756833553314209
